comision_entrante,iniciativa,estado_actual,id_proyecto,titulo,fecha_radicacion
Comision Sexta de Senado,Legislativa,Archivado en Debate,7663,Por la cual se implementa la gratuidad de la canasta vital en los servicios publicos domiciliarios de energia|| acueducto|| alcantarillado y gas domiciliario y se dictan otras disposiciones. [Canasta vital en los servicios publicos domiciliarios],2014-07-22
Comision Sexta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7713,Por la cual se facilita la realizacion de la practica administrativa y/o profesional|| o sus similares|| de los estudiantes de la carrera de administracion publica en las entidades publicas del pais. [Practicas profesionales en el sector publico],2014-07-24
Comision Segunda de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7712,Por la cual se crea la cedula militar y policial para los soldados|| miembros del nivel ejecutivo y agentes de la Policia Nacional. [Cedula militar],2014-07-24
Comision Sexta de Senado,Legislativa,Retirado por el Autor,7673,Por medio de la cual se dictan normas sobre la promocion y fomento del software y servicios conexos colombianos. [Software colombiano],2014-07-24
Comision Segunda de Camara de Representantes,Legislativa,Retirado por el Autor,7714,Por medio de la cual se expiden normas sobre el territorio marino-costero de la Nacion y se dictan otras disposiciones. [Manejo costas],2014-07-24
Comision Sexta de Camara de Representantes,Legislativa,Archivado en Debate,7715,Por medio de la cual se establecen medidas en materia de educacion para la asistencia y atencion de las madres cabeza de familia victimas de los grupos armados al margen de  la ley y sus hijos y se dictan otras disposiciones. [Atencion a victimas],2014-07-25
Comision Sexta de Camara de Representantes,Legislativa,Archivado en Debate,7716,Por la cual se promueve la educacion para la salud|| la promocion de habitos y comportamientos para la prevencion y control de enfermedades de alta prevalencia y se dictan otras disposiciones. [Prevencion en salud],2014-07-25
Comision Quinta de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7717,Por medio de la cual se dictan disposiciones para garantizar la preservacion|| conservacion y regeneracion de los ecosistemas de paramos y el desarrollo sostenible de las regiones de paramo en Colombia. [Proteccion paramos],2014-07-28
Comision Segunda de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7722,Por la cual se declara el lunes|| primer dia de la semana. [Lunes como primer dia de la semana],2014-07-28
Comision Septima de Camara de Representantes,Legislativa,Archivado por Transito de Legislatura,7719,Por medio de la cual se establecen lineamientos para la formulacion de la Politica Nacional de Construccion Sostenible en Colombia y se dictan otras disposiciones. [Politica Nacional de Construccion Sostenible],2014-07-28
